an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,03005,Gaspé,V,15260,10 000 @ 24 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,1829554583.480000,,75346304.000000,,0.810600,,0.137600,,0.004400,,0.047400,,,207108.000000,167598.000000,177782.000000,,43.000000,10291.000000,,1590658939.000000,,1289426356.000000,,218914131.000000,,6972148.000000
2023,2023,03010,Cloridorme,CT,647,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,43809696.000000,,2151600.000000,,0.847700,,0.098500,,0.002600,,0.051100,,,91397.000000,86628.000000,51420.000000,,30.000000,852.000000,,42090720.000000,,35682120.000000,,4147200.000000,,109800.000000
2023,2023,03015,Petite-Vallée,M,161,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,20844802.000000,,1457816.000000,,0.827100,,0.088200,,0.014600,,0.070100,,,161847.000000,136969.000000,75252.000000,,43.000000,277.000000,,20808595.000000,,17210543.000000,,1835680.000000,,304556.000000
2023,2023,03020,Grande-Vallée,M,1069,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,105553514.880000,,2848608.000000,,0.865900,,0.103100,,0.001700,,0.029300,,,159611.000000,133320.000000,125360.000000,,72.000000,842.000000,,97265880.000000,,84226392.000000,,10024452.000000,,166428.000000
2023,2023,03025,Murdochville,V,608,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,35037647.540000,,734643.000000,,0.774600,,0.203600,,,,0.021900,,,64128.000000,51220.000000,66109.000000,,38.000000,530.000000,,33569144.000000,,26001339.000000,,6833162.000000,,
2023,2023,04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,279,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,30256368.000000,,2246240.000000,,0.803300,,0.109600,,0.012600,,0.074400,,,75127.000000,80084.000000,57087.000000,,33.000000,530.000000,,30175669.000000,,24239798.000000,,3308255.000000,,381376.000000
2023,2023,04010,Saint-Maxime-du-Mont-Louis,M,1131,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,79438583.520000,,3646944.000000,,0.819900,,0.120100,,0.008800,,0.051200,,,103240.000000,88972.000000,82065.000000,,47.000000,968.000000,,71250624.000000,,58419360.000000,,8559108.000000,,625212.000000
2023,2023,04015,Mont-Saint-Pierre,VL,170,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,19084926.000000,,962475.000000,,0.778100,,0.161400,,0.009800,,0.050700,,,110370.000000,98713.000000,68160.000000,,39.000000,280.000000,,19000179.000000,,14783739.000000,,3067005.000000,,186960.000000
2023,2023,04020,Rivière-à-Claude,M,143,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,12248355.000000,,1302105.000000,,0.772800,,0.112400,,0.008500,,0.106300,,,78294.000000,72488.000000,48033.000000,,28.000000,255.000000,,12248355.000000,,9465015.000000,,1377180.000000,,104055.000000
2023,2023,04025,Marsoui,VL,266,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,16405391.520000,,658341.000000,,0.789200,,0.163700,,0.004000,,0.043000,,,73329.000000,65493.000000,54503.000000,,31.000000,301.000000,,15294357.000000,,12070806.000000,,2504382.000000,,60828.000000
2023,2023,04030,La Martre,M,208,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,20328532.000000,,2158660.000000,,0.727400,,0.142700,,0.023400,,0.106400,,,98782.000000,81809.000000,57425.000000,,33.000000,354.000000,,20279504.000000,,14751359.000000,,2894080.000000,,475405.000000
2023,2023,04037,Sainte-Anne-des-Monts,V,6359,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,597748094.800000,,11464235.000000,,0.815200,,0.157400,,0.005300,,0.022000,,,154254.000000,120939.000000,150985.000000,,55.000000,3959.000000,,520489540.000000,,424328955.000000,,81947735.000000,,2748615.000000
2023,2023,04047,Cap-Chat,V,2452,2 000 @ 9 999,AR040,La Haute-Gaspésie,11,Gaspésie-Îles-de-la-Madeleine,,,201799808.100000,,3205855.000000,,0.788100,,0.158600,,0.036000,,0.017200,,,118655.000000,101382.000000,102384.000000,,37.000000,1971.000000,,186232725.000000,,146775880.000000,,29540855.000000,,6710135.000000
2023,2023,05010,Shigawake,M,284,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,21607578.300000,,2819145.000000,,0.740100,,0.040900,,0.088100,,0.130900,,,94721.000000,91731.000000,47699.000000,,27.000000,453.000000,,21535395.000000,,15939105.000000,,880740.000000,,1896405.000000
2023,2023,05015,Saint-Godefroi,CT,355,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,27140736.000000,,2039520.000000,,0.803900,,0.081300,,0.039500,,0.075400,,,123323.000000,107238.000000,68193.000000,,39.000000,398.000000,,27065920.000000,,21757568.000000,,2199792.000000,,1069040.000000
2023,2023,05020,Hope Town,M,397,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,33433841.900000,,4583785.000000,,0.762600,,0.066500,,0.033800,,0.137100,,,147776.000000,130757.000000,63684.000000,,37.000000,525.000000,,33430730.000000,,25494580.000000,,2222375.000000,,1129990.000000
